;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
18. Sep 99;;;;;;;;;;;;;0.0744809;;;;;;;;;;;;0.238159742;
18-OCT-1999;;;;;;;;;;;;;0.004572655;;;;;;;0.035370364;;;;;;
17. Nov 99;;;;;;;;;;;;;;;;;;;;;;;;;;
17-DEC-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 00;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 00;;0.3051556;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2000;;0.867973667;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 00;;0.084688752;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 00;;;;;;;;;;;;;;;;;;;;;;;;;0.212695104;
16. Jul 00;0.003348741;;;;;;;;;;;;;0.533442506;;;;;;;;;;;0.26866263;
18. Aug 00;;;;;;;;;;;;;;0.757490667;;;;;;;;;;;;
17. Sep 00;;;;;;;;;;;;;;0.362958622;;;;;;;;;;;;
17-OCT-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 00;0.004791763;;0.042402971;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2000;2.14839E-05;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 01;0.015222379;;;;;;;;;;;;;;;;;;;0.198138485;;;;;;
14. Feb 01;;;;;;;;;;;;;;;;;;;;0.378664421;;;;;;
16-MAR-2001;;;;;;;;;;;;;;;;;;;;0.164281629;;;;;;
15. Apr 01;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2001;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 01;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 01;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 01;;;;;;;;;;;;;;0.073320077;;;;;;;;;;;;
17. Sep 01;;;;;;;;;;;;;;;;;;;;0.086348916;;;;;;
17-OCT-2001;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 01;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2001;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 02;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 02;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 02;;;;;;;;;;;;;;;;;;;;;;;;0.062567461;;
18. Aug 02;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 02;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-2002;;;;;;;;;;;;;0.101777062;;;;;;;;;;;;;
16. Nov 02;;;;;;;;;;;;;0.239740236;;;;;;;;;;;;;
16-DEC-2002;;0.213656881;;;;;;;0.036368827;;;;0.257668287;;;;;;;;;;;;;
15. Jan 03;;0.062277072;;;;;;;;;;;0.170945819;;;;;;;;;;;;;
14. Feb 03;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2003;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 03;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2003;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 03;;0.281950324;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 03;;0.005683222;;;0.371588916;;;;0.107343962;;;;;;;;;;;;;;;0.143813402;;
18. Aug 03;;;;;0.671403586;;;;0.088960688;;;0.032425831;;;;;;;;;;;;0.31485061;;
17. Sep 03;;;;;0.768429335;;;;0.018577869;;;0.054221133;;;;;;;;0.152177266;;;;0.289162467;;
17-OCT-2003;;;0.009921668;;0.801781096;;;;;;;0.19447972;;;;;;;;0.215240254;;;;0.043157419;;
16. Nov 03;;;;;0.666396026;;;0.09816209;;;;0.102934916;0.011627824;;;;;;;0.148787125;;;;0.06110505;;
16-DEC-2003;;;;;0.044612816;;;;;;;;0.048949435;;;;0.139331555;;;0.076719934;;;;0.017649508;;
15. Jan 04;;;;;;;;;;;;;;;;;0.025241211;;;;;;;;;
14. Feb 04;;;;;;;;;;;;;;0.326154227;;;;;;;;;;;;
15-MAR-2004;;;;;;;;;;;;;;0.283777765;;;;;;;;;;;;
14. Apr 04;;;;;;;;0.213981757;;;;;;;;;;;;;;;;;;
16-MAY-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 04;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 04;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Aug 04;;;;;;;;;;;;0.055842313;;;;;;;;;;;;;;
16. Sep 04;;;;;;;;;;;;0.209248703;;;;;0.004457733;;;;;;;;;
16-OCT-2004;;;;;;;;;;;;0.138891133;;;;;;;;;;;;;;
15. Nov 04;;;;;;;;;;;;;;;;;;;;;;;;;;
15-DEC-2004;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 05;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAR-2005;;;;;;;;;;;;;;;;0.001100019;;;;0.073228393;;;;;;
14. Apr 05;;;;;;;;;;;;;;;;0.069619271;;;;;;;;;;
16-MAY-2005;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jun 05;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jul 05;;;;;;;;0.087384453;0.044528785;;;;;;;;;;;;;;0.361190526;;;
17. Aug 05;;;;;;;;0.128073522;0.186360794;;;;;;;;;;;;;;0.516077769;;;
16. Sep 05;;;;;0.401160216;;;0.55692275;0.097696397;;;;;;;;;;;;;;;;;
16-OCT-2005;;;;;0.714691002;;;0.36745358;;;;;;;;;;;;;;;;0.002909134;;
15. Nov 05;;;;;;;;;;;;;;;;;0.001801552;;;;;;;0.016346159;;
15-DEC-2005;;;;;;;;;;;;;;;;0.12974408;;;;;;;;;;
16. Jan 06;;;;;;;;;;;;;;;;0.072301381;;;;;;;;;;
