;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
18-OCT-1998;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Nov 98;;;;;;;;;;;;;;;;;;;;;;;;;;
17-DEC-1998;;;;;;;;0.412614655;;;;;;;;;;;;;;;1.125858137;;;
16. Jan 99;;;;;;;;0.337492019;;;;;;;;;;;;;;;1.190568347;;;
15. Feb 99;;;;;;;;0.460882514;;;;;;;;;;0.026757908;;;;;0.839719871;;;
17-MAR-1999;;;;;;;;;;;;;;;;;;0.04979873;;;;;;;;
16. Apr 99;;;;;;;;;;;;;;;;;;0.015438212;;;;;;;;
16-MAY-1999;;;0.195711178;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 99;;;1.052699533;;;;;;;0.0257647;;;;;;;;0.083974147;;;;0.766681636;;;;
15. Jul 99;;;0.270951507;;;;;;;;;;;;;;;0.208510232;;;;;;;;
16. Aug 99;;;0.368738076;;;;;;;;;;0.051431437;;;;;;;;;;;;;
18. Sep 99;;;;;;;;;;0.355247305;0.786718432;;;;;;0.034333457;;;;;0.147633553;;;;
18-OCT-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Nov 99;;;;;;;;;;;;;;;;;;0.082606231;;;;;;;;
17-DEC-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 00;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 00;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAR-2000;;;;;;;;0.23225844;;;;;;0.094951331;;;;;;;0.050725863;;0.00145316;;;
15. Apr 00;;;;;;;;;;;;;;;;;;;;;0.034912539;;;;;
15-MAY-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 00;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 00;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 00;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 00;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-2000;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Nov 00;;;0.114807628;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-2000;;0.232017649;;;;;;;;;;;;;;;;;;;;;;;;
15. Jan 01;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Feb 01;;;;;;;;;;;;;;;;;;;;;;;1.103242223;;;
16-MAR-2001;;;;;0.162964297;;;;;;;;;;;;;;;;;;;;;
15. Apr 01;;;;;;;;;;;;;;;;;;;;;;;;;;
15-MAY-2001;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 01;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 01;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 01;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Sep 01;;;;;;;;;;;;;;;;;;;;;;;;;;
17-OCT-2001;;;;;;;;;;;;;;;;;;;;0.149652295;;;;;;
16. Nov 01;;;;;;;;;;;;;;;;;;;;0.151480135;;;;;;
16-DEC-2001;;;;;;;;;;;;;;0.193360825;;;;0.171442122;;0.043935719;0.151236183;;;0.018957259;;
15. Jan 02;;;;;;;;;;;;;;;;;;0.036546302;;;0.13385333;;;;;
14. Feb 02;;;;;;;0.296326132;;;;;;;0.031330463;0.053930539;;;;;;0.013266892;;;;;
16-MAR-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Apr 02;;;;;;;;;;;;;;0.242895067;;;;;;;;;;;;
15-MAY-2002;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Jun 02;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 02;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Aug 02;;0.077805079;;;;;;;;;;;;;;;0.265068152;;;;;;;;;
17. Sep 02;;0.521340343;;;;;;;;;;;;;;;0.072597734;;;;;;;;;
