ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
Nor-BTS-8-2003,Nor-BTS,2003,2.584151157751072,311.5232121050198,19288.514923862673,647.2361033504648,242.09624944424166,-0.38685221939629244,0.5813491241610683,0.021681450857459757,0.5679639091529007,0.2989428653373404,6.426758945532413,-1.146467971773614,-0.1641488945181884
NS-IBTS-1-2003,NS-IBTS,2003,4.961508619219265,596.455327280185,90452.27132333779,7418.459622280645,79.56047212271316,0.015223246658620335,0.06764847365517124,-0.0042882082163525565,0.09925595307553373,-0.028115306526071214,7.806961642375611,-0.18016871953570401,-0.022815687672585894
SCS-6-2003,SCS,2003,1.0060150015270495,31.679807660156953,5503.800778284936,84.05669663942217,148.60165754100925,-0.7145519086013541,-0.6916624507823315,-0.2236294462436673,-0.43320523876718964,0.14176349484418527,7.566737418740218,-3.8647176363690727,-0.41260678484413554
SEUS-4-2003,SEUS,2003,4.973018886709258,271.09816008027144,45499.093227147685,5986.4379280618505,8.74492758119999,0.23360939582823043,0.6146958660309026,0.2631490588309657,1.1636044581474074,0.037743322765616254,23.51447952925138,0.40121854071230345,0.01720986000720286
SWC-IBTS-2-2003,SWC-IBTS,2003,7.446050840286843,971.4347658799784,101661.43542979671,9689.587874643572,133.78921496496753,0.03140220054404669,0.1293090070356412,0.1238938955472316,-0.07266611225418877,0.0971553364202789,11.656694150263471,3.2196839071632173,0.3232526109104349
WCANN-5-2003,WCANN,2003,24.307677492002565,1371.9892376510847,74528.2446747826,3108.652461906927,262.6033724282086,NA,NA,NA,NA,NA,9.03341337880635,NA,NA
BITS-2-2004,BITS,2004,3.823929014639833,629.2813028128899,188371.17863808945,11316.434332821806,60.86256280508105,0.07786557047347915,0.19776360790247713,0.3308739057469455,0.8519637035441016,0.03415932045734251,7.72983415274341,0.034180932947183607,0.004431754804984769
DFO-QCS-7-2004,DFO-QCS,2004,3.5296173698487995e-12,1.427719768811636e-10,1.104260237520834e-10,0,189.23396570239294,0.25457238383905395,-0.46119841377770066,-0.3633580486256412,NA,-0.13203281079157628,8.221374445133705,-0.01075523850769855,-0.0013073494807419451
EBS-6-2004,EBS,2004,19.96658464985995,5672.800000000001,44996.34848739503,7897.260000000001,79.29224147764909,-0.31071546075374173,-0.41677564942806883,-0.09260986933435719,-0.40460959334311625,-0.011908124255119813,6.026377055920981,-0.027398615744202992,-0.004536145087389566
EVHOE-10-2004,EVHOE,2004,8.213467545805583,603.135769172766,182436.8077102695,11894.054586837081,145.3557996305852,-0.19697732490477132,0.5457460582922499,0.4636432681768558,0.8391108243965547,0.030953046690946458,16.0451002607429,0.5431780077401758,0.03443949070562893
FR-CGFS-10-2004,FR-CGFS,2004,1.4059721362156026,148.4247497191199,17863.138521257253,2585.6913060854095,29.31100583682653,-0.30865778753692585,0.3686151970721282,-0.9644554237106867,-0.26843978936147045,-0.06179670158372644,16.35415276777602,1.3828101265828767,0.0883439738054886
GMEX-6-2004,GMEX,2004,0.7298148845183574,28.37620488858949,29555.71663743636,1302.530155171294,66.6166118553671,-0.1586928709280835,0.0467175145223848,0.010919222710301707,-0.34509611100042936,-0.14901992716196208,24.92935566397832,1.0310022871997333,0.04223649119742073
GSL-S-8-2004,GSL-S,2004,2.6273465481142493,158.2605282316568,19850.183131229696,1111.596187246636,NA,-0.4015514241746787,-0.35376934026643453,-0.43918773851267645,-0.2521322803485967,NA,5.643700127157338,-0.48005772948693703,-0.08163603563202591
