survey,year,month_year,ref_yr,survey_date
DFO-NF,2014,9-2014,DFO-NF-9-2014,2014-09-01
DFO-NF,2015,9-2015,DFO-NF-9-2015,2015-09-01
DFO-NF,2016,9-2016,DFO-NF-9-2016,2016-09-01
DFO-NF,2017,9-2017,DFO-NF-9-2017,2017-09-01
DFO-NF,2018,9-2018,DFO-NF-9-2018,2018-09-01
DFO-NF,2019,9-2019,DFO-NF-9-2019,2019-09-01
GSL-N,1998,7-1998,GSL-N-7-1998,1998-07-01
GSL-N,1999,7-1999,GSL-N-7-1999,1999-07-01
GSL-N,2000,7-2000,GSL-N-7-2000,2000-07-01
GSL-N,2001,7-2001,GSL-N-7-2001,2001-07-01
GSL-N,2002,7-2002,GSL-N-7-2002,2002-07-01
GSL-N,2003,7-2003,GSL-N-7-2003,2003-07-01
GSL-N,2004,7-2004,GSL-N-7-2004,2004-07-01
GSL-N,2005,7-2005,GSL-N-7-2005,2005-07-01
GSL-N,1995,7-1995,GSL-N-7-1995,1995-07-01
GSL-N,2006,7-2006,GSL-N-7-2006,2006-07-01
